Model,BatteryId,Policy,NObs,RMSE,MAE,Bias,MaxAbsError,InnerSelectedLambdaRandom,InnerSelectedLambdaCurve,InnerCVMeanBatteryRMSE,InnerValidationNBattery
spline_mixed,46,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.011680514937154166,0.01167596703105879,-0.01167596703105879,0.012271659733566698,3.0,0.001,0.004074549437034695,39
spline_mixed,47,5C_67PER_4C_NEWSTRUCTURE,200,0.0008128461988008163,0.0006883258066489883,-0.0006337183957698334,0.0020050964347080313,3.0,0.001,0.0043101415036798105,39
spline_mixed,48,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0010068527012885057,0.0008757116161699824,-0.0007953068334541085,0.002845101600397748,3.0,0.001,0.004884995601347589,39
spline_mixed,49,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.011516399372879828,0.011508237843292343,-0.011508237843292343,0.012202613800872508,3.0,0.001,0.004859583208149746,39
functional_ridge,1,3_6C-80PER_3_6C,200,0.006975142618889875,0.0068338820019703235,-0.006798277612668626,0.00824258203435535,0.0,0.0,0.004646575582194455,38
functional_ridge,3,3_6C-80PER_3_6C,200,0.006880534353242581,0.006798277612183432,0.006798277612183432,0.008355519849298276,0.0,0.0,0.0041271367748368015,38
functional_ridge,4,80PER_3_6C,200,0.01443709893692767,0.012262310529700273,0.012056743601128954,0.026317674499970245,0.0,0.0,0.0037460458871005097,38
functional_ridge,6,80PER_3_6C,200,0.014392003901594355,0.012238256054001733,-0.01205674360161491,0.026120504786793175,0.0,1e-06,0.003710572975163959,38
functional_ridge,7,4_8C_80PER_4_8C,200,0.003830836228347946,0.002933764867823874,-0.002626242754238864,0.008280921355062643,0.0,0.0,0.004317309068329362,38
functional_ridge,8,4_8C_80PER_4_8C,200,0.003825759410956385,0.0029132799520601577,0.002626242753754328,0.008407678369459437,0.0,0.0,0.004236285632863942,38
functional_ridge,12,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.00032903222638964986,0.000289134694270749,-3.258414063579962e-06,0.0009420229673408054,0.0,0.0,0.0043465323495250835,39
functional_ridge,13,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.00033671678384480247,0.0002585755720829624,-0.00017542092841813905,0.0007730399864870341,0.0,1e-06,0.004380061005094111,39
functional_ridge,15,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0005541110454988607,0.00042230914902791793,0.00033260556787519547,0.0013682013974107843,0.0,1e-06,0.004365343770420794,39
functional_ridge,17,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.011559168194448369,0.011543748795673768,-0.011543748795673768,0.01267163754677747,0.0,0.0,0.00403046745624185,39
functional_ridge,18,5C_67PER_4C_NEWSTRUCTURE,200,0.0004207950351373287,0.0003324184498038046,0.00026021576841027297,0.0022250542760618996,0.0,0.0,0.004387380914401876,39
functional_ridge,19,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0011582469427663254,0.0009933588177252733,-0.0009605180508413685,0.002189403985146776,0.0,0.0,0.004336181432477032,39
functional_ridge,20,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.011081999194286707,0.0110743474801536,-0.0110743474801536,0.011809040021655504,0.0,1e-06,0.004087333883867792,39
functional_ridge,21,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0004941516720873574,0.00039677592355701784,0.0002741782397824166,0.0015735908716670854,0.0,1e-06,0.004421942935307314,39
functional_ridge,22,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0011119374925610825,0.0008930786877739661,-0.0008700763448875903,0.0024022553596521057,0.0,0.0,0.004779913775753539,39
functional_ridge,23,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0005128180305878766,0.0003816721663887002,0.00025276817192668166,0.002793932970745039,0.0,0.0,0.00432188837693439,39
functional_ridge,26,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0015951208878737307,0.0013591995451301792,0.001212500271324523,0.00973387830548933,0.0,1e-06,0.004342623553784009,39
functional_ridge,27,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0006802048162282686,0.0006315257182460321,0.0005125937488086385,0.0017603754110305792,0.0,0.0,0.004319048243544235,39
functional_ridge,28,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0010156691153109423,0.0009316449510490837,0.0007788820697317061,0.0016402209670847157,0.0,1e-06,0.004357549592190299,39
functional_ridge,29,5C_67PER_4C_NEWSTRUCTURE,200,0.0003029508086630962,0.00024141125413823517,0.0001494968991925516,0.0014448193093145045,0.0,1e-06,0.0043750619583344036,39
functional_ridge,30,3_7C_31PER_5_9C_NEWSTRUCTURE,200,0.005812712778653954,0.004622266742572589,-0.00459176080860288,0.011174088827881179,0.0,0.0,0.004135670261136903,38
functional_ridge,31,5C_67PER_4C_NEWSTRUCTURE,200,0.0004766828877643966,0.0003438330860038913,-8.781549360900976e-05,0.003307069084258374,0.0,0.0,0.004367893860647365,39
functional_ridge,32,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0006063823788810293,0.000540813750286368,-0.0004484691426493975,0.0023503097506342163,0.0,0.0,0.004354077212474001,39
functional_ridge,33,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.001010916245596379,0.0008843148614284752,-0.0007754936102033211,0.0021982367999008323,0.0,1e-06,0.004308409990698385,39
functional_ridge,34,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0003771960264793744,0.0002758702145736491,2.0278935343776007e-06,0.002603072984568078,0.0,0.0,0.004342636218669695,39
functional_ridge,35,3_7C_31PER_5_9C_NEWSTRUCTURE,200,0.005813438037387321,0.004617762109394536,0.0045917608081155635,0.01134990232930877,0.0,0.0,0.004626706936910677,38
functional_ridge,36,5_3C_54PER_4C_NEWSTRUCTURE,200,0.00036975006811419946,0.00031787232147187096,-0.00028268653849179595,0.001701328739715624,0.0,0.0,0.004360625445041367,39
functional_ridge,37,5C_67PER_4C_NEWSTRUCTURE,200,0.0006670024715882115,0.0005782653544383964,0.0004714407215288829,0.0011838024678265668,0.0,0.0,0.0043629851010882235,39
functional_ridge,38,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0012229028808377741,0.0010474269229168792,0.0008559171663864778,0.002043077823043804,0.0,0.0,0.004796092391506208,39
functional_ridge,39,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.00032321062881305636,0.0002428577569998347,-0.00016175220586024498,0.0009234222602979569,0.0,0.0,0.004376330268414466,39
functional_ridge,40,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0012072006270426993,0.0010415004507225245,0.0009929585069440804,0.002063890589756201,0.0,0.0,0.00477668878665662,39
functional_ridge,41,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.045821559410124967,0.045802301121126314,0.045802301121126314,0.05289531434887984,0.0,0.0,0.0021169608839876094,39
functional_ridge,42,5C_67PER_4C_NEWSTRUCTURE,200,0.0003944003785247156,0.00030636524157227565,-0.00015961951243815886,0.0010303757237756228,0.0,0.0,0.004806840229842281,39
functional_ridge,43,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0006339986018151723,0.0005261268494189081,0.00041856311672101854,0.0021329705275289212,0.0,0.0,0.004805985646678876,39
functional_ridge,44,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0003895820148051901,0.0002294315390323898,-9.903593208911875e-05,0.0031042586286065266,0.0,0.0,0.0043518150579984856,39
functional_ridge,45,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.001394804685239179,0.0012192254194346452,-0.0010609767664787218,0.0032284025693515295,0.0,1e-06,0.004318557731681583,39
functional_ridge,46,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.011679496193146817,0.011675967017134367,-0.011675967017134367,0.01221522046298329,0.0,0.0,0.004055783295716851,39
functional_ridge,47,5C_67PER_4C_NEWSTRUCTURE,200,0.0008001984687992739,0.0006921460966360682,-0.0006337183845413729,0.0014937631461932055,0.0,1e-06,0.004290788486576903,39
functional_ridge,48,5_3C_54PER_4C_NEWSTRUCTURE,200,0.000982926746419062,0.0008493901119800074,-0.0007953068241484063,0.002187872264507895,0.0,0.0,0.004867686361843957,39
functional_ridge,49,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.01151630742397807,0.011508237829366328,-0.011508237829366328,0.012237102753144158,0.0,0.0,0.004841427544131653,39
